# e11		e22		e33		ev		i		s11		s22		s33
0.0	0.0	0.0	0.0	48223	0.0	0.0	0.0
1.15912494869e-06	3.62561624292e-05	-1.34542243038e-05	2.39610630741e-05	50223	243.60609116	5873.14325259	-140.244115263
-3.44958123155e-06	5.84787419309e-05	-1.81698131467e-05	3.68593475526e-05	52223	243.743360356	9761.73237185	-140.277525835
-8.08866816815e-06	8.07017413795e-05	-2.2889317183e-05	4.97237560284e-05	54223	243.547492444	13646.7879607	-139.987537493
-1.27505109815e-05	0.000102923584887	-2.76224369296e-05	6.2550636976e-05	56223	243.420493138	17572.4297654	-140.061279917
-1.74358294098e-05	0.00012514742843	-3.23710485699e-05	7.53405504501e-05	58223	243.404654514	21481.1816249	-140.129817033
-2.21197587864e-05	0.00014737169887	-3.71364145233e-05	8.81155255605e-05	60223	243.579690774	25425.3179018	-139.884821869
-2.68283993639e-05	0.000169596396172	-4.19220545331e-05	0.000100845942275	62223	243.649496855	29348.9738831	-140.118462784
-3.15358950396e-05	0.00019182152021	-4.67281542071e-05	0.000113557470963	64223	243.520029272	33279.9756555	-140.016616144
-3.62557635394e-05	0.000214047071331	-5.15417981677e-05	0.000126249509624	66223	243.562795322	37204.4129457	-140.05142093
-4.09889324404e-05	0.000236273049891	-5.6376420613e-05	0.000138907696838	68223	243.518867815	41129.0396375	-140.008727066
-4.57341809965e-05	0.000258499455861	-6.12222427774e-05	0.000151543032087	70223	243.538431821	45056.9767458	-140.031942879
-5.04858246748e-05	0.000280726289148	-6.60834723802e-05	0.000164156992093	72223	243.573007583	48967.2067534	-140.013586653
-5.52434313674e-05	0.000302953549742	-7.09609792513e-05	0.000176749139124	74223	243.542722311	52877.0083829	-140.010396836
-6.00181229591e-05	0.000325181237651	-7.58449763851e-05	0.000189318138306	76223	243.604904212	56785.1642565	-140.06472531
-6.4808091194e-05	0.000347409352937	-8.07427089486e-05	0.000201858552795	78223	243.507109364	60675.9068773	-140.040614538
-6.96048975333e-05	0.000369637895685	-8.56500084947e-05	0.000214382989657	80223	243.565432214	64582.5922066	-139.997744206
-7.4364690688e-05	0.000391866865884	-9.0867979454e-05	0.000226634195742	82223	243.579679439	68461.209252	-139.975155969
-7.91808678731e-05	0.000414094583788	-9.58039172236e-05	0.000239109798692	84223	243.575651506	72350.814948	-140.004266462
-8.40067324237e-05	0.000436324408969	-0.000100747049331	0.000251570627214	86223	243.533342112	76241.1481651	-140.006522882
-8.88325633479e-05	0.000458554661738	-0.000105704209653	0.000264017888737	88223	243.542472192	80132.8185601	-139.984404353
-9.36794253903e-05	0.000480785342094	-0.000110671746032	0.000276434170672	90223	243.544348155	84025.5176675	-139.980465557
-9.85458131786e-05	0.000503016450023	-0.000115641149715	0.000288829487129	92223	243.519286278	87912.0530352	-140.013124864
-0.000103744315116	0.000525247985667	-0.000120492611891	0.000301011058661	94223	243.534411093	91734.4704894	-140.041151806
-0.0001086257446	0.000547479949234	-0.000125477932912	0.000313376271722	96223	243.533832954	95593.0430097	-140.006181697
-0.00011352131433	0.000569712340463	-0.000130465826616	0.000325725199517	98223	243.581649392	99480.6445228	-140.042436735
-0.00011848402402	0.000591945159555	-0.000135639611971	0.000337821523564	100223	243.677187609	103340.240055	-139.979749149
-0.000123402169317	0.000614178406585	-0.000140641590072	0.000350134647196	102223	243.53841573	107201.83457	-139.992999364
-0.000128335237333	0.000636412081342	-0.000145647922051	0.000362428921958	104223	243.53102105	111079.14059	-140.00972665
-0.000133327341106	0.000658646183962	-0.000150711544634	0.000374607298222	106223	243.531333872	114934.717599	-140.018916502
-0.000138264416357	0.000680880714316	-0.000155721960125	0.000386894337833	108223	243.551377815	118797.933731	-140.013097785
-0.00014335610048	0.000703115671636	-0.000160865910938	0.000398893660217	110223	243.483536365	122658.518829	-140.030245751
-0.000148604276942	0.00072535105362	-0.000165803343819	0.00041094343286	112223	243.532559505	126478.848039	-140.026381468
-0.000153586020871	0.000747586864704	-0.000170809110055	0.000423191733778	114223	243.534898856	130352.015041	-140.035497335
-0.000158513944931	0.000769823104094	-0.000176042490747	0.000435266668416	116223	243.488644552	134190.236637	-140.024246826
-0.000163502104201	0.000792059771663	-0.000181057100031	0.000447500567431	118223	243.561827472	138064.108585	-140.025043507
-0.000168488125948	0.000814296867282	-0.000186348524642	0.000459460216693	120223	243.564104058	141911.726169	-139.999886548
-0.000173617126425	0.000836534391111	-0.000191496915546	0.00047142034914	122223	243.574722179	145794.465292	-139.99238353
-0.000178626232356	0.000858772343389	-0.000196531998075	0.000483614112958	124223	243.5296289	149667.669649	-139.93123044
-0.000183654648895	0.00088101072368	-0.00020157483992	0.000495781234865	126223	243.526414364	153561.18582	-140.02195415
-0.000188938173936	0.000903249531989	-0.000206706493621	0.000507604864432	128223	243.604312621	157408.806663	-139.962580295
-0.000193983581107	0.000925488768131	-0.000211754998897	0.000519750188127	130223	243.524329718	161306.291482	-140.045350468
-0.000199026863123	0.000947728432066	-0.000216802856129	0.000531898712814	132223	243.517341862	165199.722272	-140.027400837
-0.000204305307218	0.000969968522837	-0.00022180545555	0.000543857760069	134223	243.561314354	168975.722724	-140.028776642
-0.000209407329403	0.000992209041795	-0.000227463780107	0.000555337932285	136223	243.511360559	172801.061185	-140.041622179
-0.000215120262069	0.00101444998643	-0.000233230458455	0.00056609926591	138223	243.693690871	176511.876514	-140.023257787
-0.00022017366166	0.00103669135777	-0.000238319172435	0.000578198523671	140223	243.546254806	180435.381227	-140.018946201
